序号ID,短代码ShortKey,谜题名称Title,作者Author,查看次数Downloads,完成次数Completions,完成率CompletionRate,平均时间AverageTime,喜欢个数Likes,宽Width,高Height,分离Splitter,切割Cutter,旋转Rotater,堆叠Stacker,混色Mixer,上色Painter,垃圾桶Trash,传送带Belt,隧道Tunnel,
85,CuCuCuCu:CuCuCu--:--CuCu--:----Cu--,puzzlemod harder lv8,anonymous,181,21,11.60%,35m49s,16,11,4,,,,,,,,,
86,'--Sw--Sw:--Sr--Sr:--Sw--Sw:RuSrRuSr,puzzlemod ezier lv10,anonymous,29,3,10.34%,5m18s,3,10,7,,,,,,,,,
88,CrCrCrCr:WcWcWcWc,Tight Fit - Hard,anonymous,1340,1174,87.61%,2m5s,423,2,17,,,,,,,,,
89,'--Wy----:SySy----,Short Factory,anonymous,195,131,67.18%,4m23s,59,18,2,,,,,,,,,
92,RpRpRpRp,crossed paths puzzle,anonymous,825,790,95.76%,1m16s,167,13,11,,,,,,,,,
93,RcCrRcCr:CrRcCrRc,Checkered Lozenge,anonymous,142,89,62.68%,5m52s,36,12,6,,,,,,,,,
94,SuSrSbSg:CcCpCyCw,AnthiosRoutingChal 5,anonymous,28,24,85.71%,4m23s,10,17,17,,,,,,,,,
95,RrRrSbRr,Four corners puzzle,anonymous,18,9,50.00%,7m52s,4,13,13,,,,,,,,,
96,RwCu--Cu:----Rw--,Thin Factory - Hard,anonymous,349,213,61.03%,2m41s,93,2,19,,,,,,,,,
98,RwRwRwRw,AnthiosDivertingChal,anonymous,296,270,91.22%,1m39s,76,8,6,,,,,,,,,
99,SrSrSrSr,Merging Is Posibble,anonymous,506,487,96.25%,33s,101,3,5,,,,,,,,,
100,SrSr----:RuRu----,Again,anonymous,220,33,15.00%,4m29s,15,8,7,,,,,,,,,
101,SrSr----:SrSr----:RuRu----,Remake Of A Remake,anonymous,9,3,33.33%,-1s,3,7,7,,,,,,,,,
102,RuCuRuCu,Smallest Level,anonymous,30,26,86.67%,6s,4,2,2,,,,,,,,,
105,CrCwCrCw,CrCwCrCw,anonymous,14,6,42.86%,-1s,5,2,20,,,,,,,,,
106,RwRwRwRw:SwSwSwSw:WwWwWwWw:CwCwCwCw,Tight Production,anonymous,31,26,83.87%,1m53s,10,18,10,,,,,,,,,
107,RwRwRwRw:RuRuRuRu,Blocker Puzzle,anonymous,251,224,89.24%,5m56s,68,8,6,,,,,,,,,
108,CyCyCyCy:RbRbRbRb:SrSrSrSr:WgWgWgWg,Combine,anonymous,9,5,55.56%,-1s,3,20,20,,,,,,,,,
109,'----Ru--,Snake shape,anonymous,1929,1862,96.53%,51s,414,5,8,,,,,,,,,
110,CrRgWbSp,Belt Madness 1,anonymous,1418,1343,94.71%,1m30s,387,10,7,,,,,,,,,
111,CuRpScWg,Weird Shapes,anonymous,225,171,76.00%,8m8s,66,6,6,,,,,,,,,
112,'--Su----:------Ru:RuSu----:----Ru--,shapes hehe,anonymous,270,267,98.89%,26s,48,9,9,,,,,,,,,
113,CcRrCyRg,Belt Madness 2,anonymous,487,445,91.38%,1m30s,146,12,9,,,,,,,,,
114,SuSuSuSu,Flow Free level 150,anonymous,187,128,68.45%,6m23s,45,15,18,,,,,,,,,
115,SwWcSpWy,Belt Madness 3,anonymous,114,88,77.19%,3m28s,26,12,9,,,,,,,,,
117,ScWpScWp:WuCpWuCp,hehe funny,anonymous,12,6,50.00%,-1s,1,20,20,,,,,,,,,
118,CrCrCrCr:CgCgCgCg:CbCbCbCb:CwCwCwCw,Rainbow WAvE,anonymous,164,150,91.46%,1m36s,45,20,20,,,,,,,,,
119,SuSbSuSr,Shape Strip,anonymous,168,113,67.26%,7m32s,50,2,20,,,,,,,,,
120,CpCpCpCp:CpCpCpCp:CpCpCpCp:CpCpCpCp,purple circle,anonymous,114,85,74.56%,1m41s,21,3,8,,,,,,,,,
121,CrRrCrRr:RcCcRcCc:CwCwCwCw,Half-baked,anonymous,15,3,20.00%,4m31s,2,11,20,,,,,,,,,
122,WyCwSgRc,Belt Madness 4,anonymous,16,3,18.75%,-1s,3,20,12,,,,,,,,,
123,CbCbCbRb:CwCwCwCw,Blueprint shape,anonymous,34,2,05.88%,9m25s,2,8,10,,,,,,,,,
124,WrWrWrWr,Painter Toutorial,anonymous,24,20,83.33%,2m45s,3,4,2,,,,,,,,,
125,CwRwCcRc,This is very Yes,anonymous,37,30,81.08%,2m28s,9,8,6,,,,,,,,,
126,CyRyCyRy,yelow,anonymous,2356,2167,91.98%,1m11s,511,3,5,,,,,,,,,
127,WrRgWrRg:CwCrCwCr:SgCgCgSg:CgCyCyCg,Best Shape,anonymous,23,20,86.96%,2m5s,9,6,7,,,,,,,,,
128,CgScScCg,Level 11 shape,anonymous,32,2,06.25%,21m44s,1,8,8,,,,,,,,,
129,WrWrWrWr:WrWrWrWr,painter madness,anonymous,28,21,75.00%,1m46s,6,6,10,,,,,,,,,
130,'----SuSu:--SuSu--,Simple Merging,anonymous,10,5,50.00%,-1s,4,9,3,,,,,,,,,
131,CrCrCrCr:RrRrRrRr:WrWrWrWr:SrSrSrSr,painter madness 2,anonymous,14,5,35.71%,-1s,3,6,11,,,,,,,,,
132,CrCrCrCr:RrRrRrRr:WrWrWrWr:SuSrSrSr,painter madness 2 v2,anonymous,18,12,66.67%,1m3s,2,6,9,,,,,,,,,
133,CrCrCrCr:RgRgRgRg:WbWbWbWb:SySySySy,painter vShrimpBad,anonymous,9,5,55.56%,-1s,5,8,11,,,,,,,,,
134,CcCbCbCc:SyCbCbSy:Cy----Cy,Sunset Sea,anonymous,11,1,09.09%,-1s,1,20,14,,,,,,,,,
135,SbScScSb:WuWuWuWu,WuWuWuWuWasTaken,anonymous,16,4,25.00%,-1s,4,15,4,,,,,,,,,
136,WrWrWbWb:CbCbCrCr,No mergers o_o,anonymous,11,6,54.55%,-1s,5,9,7,,,,,,,,,
137,'--Cr----:--Cg----,Melon,anonymous,294,52,17.69%,7m38s,24,13,7,,,,,,,,,
138,WrSuWrSu:RuCbRuCb,puzzle,anonymous,14,3,21.43%,-1s,3,6,12,,,,,,,,,
139,CrCwCrSw,Vive la Fance,anonymous,85,68,80.00%,1m32s,19,6,7,,,,,,,,,
140,WbScCuSc:CpCcSbCc,Shapez,anonymous,8,6,75.00%,-1s,0,8,6,,,,,,,,,
141,SuScSuSc:RcCuRcCu,Cool stuff ngl,anonymous,9,3,33.33%,-1s,1,2,3,,,,,,,,,
143,CpCpCpCp:SySySySy:WbWb----:RrRr----,Youpiiiiiiiii,anonymous,12,2,16.67%,-1s,2,13,9,,,,,,,,,
146,CbCuCbCu:CbCbCbCb:CuCuCuCu,color delete,anonymous,265,236,89.06%,1m30s,68,4,9,,,,,,,,,
147,Sb----Sb,Bugprinting pt1 Ears,anonymous,264,236,89.39%,1m30s,75,9,3,,,,,,,,,
148,Sb----Sb:CbCbCbCb,Bugprinting pt2 Body,anonymous,715,632,88.39%,3m41s,222,9,3,,,,,,,,,
149,Sp----Sp:CpCpCpCp:--CwCw--,E_BugFashion,anonymous,63,39,61.90%,6m45s,14,8,9,,,,,,,,,
150,WrWrWrWr:WgWgWgWg,Red windmill madness,anonymous,423,417,98.58%,41s,77,8,6,,,,,,,,,
151,'--Cg----:--Cr----,Melon madness,anonymous,119,80,67.23%,4m46s,27,8,7,,,,,,,,,
152,RpRpRpRp:WgWgWgWg,idkkkk,anonymous,11,8,72.73%,-1s,3,10,10,,,,,,,,,
153,CcSrCc--,Fish or something,anonymous,59,39,66.10%,3m13s,13,9,9,,,,,,,,,
154,SpScSwSg:WgWbWyWr,a small puzzle,anonymous,13,8,61.54%,57s,2,2,5,,,,,,,,,
155,RuRgRgRr,HAL puzzle,anonymous,14,3,21.43%,-1s,3,20,8,,,,,,,,,
156,CpCpCpCp:WyWyWyWy:SbSb----:RrRr----,Cut and color,anonymous,12,2,16.67%,-1s,2,13,9,,,,,,,,,
157,WbWyWyWb:CrRcRwCp:--RwRc--,a hard one,anonymous,13,2,15.38%,-1s,2,20,19,,,,,,,,,
158,WgRrWgRr:CrCwCrCw:SgSgSgSg,Shrimp took my shape,anonymous,230,37,16.09%,22m8s,23,9,10,,,,,,,,,
159,SySySySy:SySySySy,Pandas 2nd Puzzel,anonymous,33,28,84.85%,1m30s,9,7,6,,,,,,,,,
160,CcCcCcCc:CcCcCcCc:CcCcCcCc:CcCcCcCc,idkr,anonymous,719,700,97.36%,1m9s,145,5,9,,,,,,,,,
161,'------Cu:Cu------:Cu------:--CuCu--,Beep Boop,anonymous,15,4,26.67%,-1s,4,20,20,,,,,,,,,
162,CyCyCyCy:WcWcWcWc:SpSpSwSw,CirclePinwheelStar,anonymous,9,5,55.56%,-1s,4,20,20,,,,,,,,,
163,Cu--CuRw:--Rw----,Return to rectangle,anonymous,16,9,56.25%,17m33s,6,7,6,,,,,,,,,
